year,country,cyclist,sponsor/team,distance_km,overall_time,margin,stage_wins,stages_in_lead,controversial,overall_time_sec,margin_sec
1903,France,Maurice Garin,La Française,2428,3 days 22:33:14.000000000,0 days 02:59:21.000000000,3,6,False,340394.0,10761.0
1904,France,Maurice Garin Henri Cornet[E],Conte,2428,4 days 00:05:55.000000000,0 days 02:16:14.000000000,1,3,False,345955.0,8174.0
1905,France,Louis Trousselier,Peugeot–Wolber,2994,,,5,10,False,,
1906,France,René Pottier,Peugeot–Wolber,4637,,,5,12,False,,
1907,France,Lucien Petit-Breton,Peugeot–Wolber,4488,,,2,5,False,,
1908,France,Lucien Petit-Breton,Peugeot–Wolber,4497,,,5,13,False,,
1909,Luxembourg,François Faber,Alcyon–Dunlop,4498,,,6,13,False,,
1910,France,Octave Lapize,Alcyon–Dunlop,4734,,,4,3,False,,
1911,France,Gustave Garrigou,Alcyon–Dunlop,5343,,,2,13,False,,
1912,Belgium,Odile Defraye,Alcyon–Dunlop,5289,,,3,13,False,,
1913,Belgium,Philippe Thys,Peugeot–Wolber,5287,8 days 05:54:00.000000000,0 days 00:08:37.000000000,1,8,False,712440.0,517.0
1914,Belgium,Philippe Thys,Peugeot–Wolber,5380,8 days 08:28:48.000000000,0 days 00:01:50.000000000,1,15,False,721728.0,110.0
1919,Belgium,Firmin Lambot,La Sportive,5560,9 days 15:07:15.000000000,0 days 01:42:54.000000000,1,2,False,832035.0,6174.0
1920,Belgium,Philippe Thys,La Sportive,5503,9 days 12:36:13.000000000,0 days 00:57:21.000000000,4,14,False,822973.0,3441.0
1921,Belgium,Léon Scieur,La Sportive,5485,9 days 05:50:26.000000000,0 days 00:18:36.000000000,2,14,False,798626.0,1116.0
1922,Belgium,Firmin Lambot,Peugeot–Wolber,5375,9 days 06:08:06.000000000,0 days 00:41:15.000000000,0,3,False,799686.0,2475.0
1923,France,Henri Pélissier,Automoto–Hutchinson,5386,9 days 06:15:30.000000000,0 days 00:30:41.000000000,3,6,False,800130.0,1841.0
1924,Italy,Ottavio Bottecchia,Automoto,5425,9 days 10:18:21.000000000,0 days 00:35:36.000000000,4,15,False,814701.0,2136.0
1925,Italy,Ottavio Bottecchia,Automoto–Hutchinson,5440,9 days 03:10:18.000000000,0 days 00:54:20.000000000,4,13,False,789018.0,3260.0
1926,Belgium,Lucien Buysse,Automoto–Hutchinson,5745,9 days 22:44:25.000000000,0 days 01:22:25.000000000,2,8,False,859465.0,4945.0
1927,Luxembourg,Nicolas Frantz,Alcyon–Dunlop,5398,8 days 06:16:42.000000000,0 days 01:48:41.000000000,3,14,False,713802.0,6521.0
1928,Luxembourg,Nicolas Frantz,Alcyon–Dunlop,5476,8 days 00:48:58.000000000,0 days 00:50:07.000000000,5,22,False,694138.0,3007.0
1929,Belgium,Maurice De Waele,Alcyon–Dunlop,5286,7 days 18:39:15.000000000,0 days 00:44:23.000000000,1,16,False,671955.0,2663.0
1930,France,André Leducq,Alcyon–Dunlop,4822,7 days 04:12:16.000000000,0 days 00:14:13.000000000,2,13,False,619936.0,853.0
1931,France,Antonin Magne,France,5091,7 days 09:10:03.000000000,0 days 00:12:56.000000000,1,16,False,637803.0,776.0
1932,France,André Leducq,France,4479,6 days 10:11:49.000000000,0 days 00:24:03.000000000,6,19,False,555109.0,1443.0
